x,mean,ci_min,ci_max
0.0,0.6923076923076923,0.4414125266304348,0.9432028579849498
1.0,0.3333333333333333,0.18538246753843948,0.4812841991282272
2.0,0.4230769230769231,0.23317121377589875,0.6129826323779474
3.0,0.46153846153846156,0.19054070966539727,0.7325362134115259
4.0,0.3333333333333333,0.1853824675384395,0.4812841991282271
5.0,0.7971794871794872,0.6985558044051348,0.8958031699538396
6.0,0.6346153846153846,0.5037319068501049,0.7654988623806642
7.0,0.46153846153846156,0.3050778365447645,0.6179990865321586
8.0,0.5769230769230769,0.3870173676220525,0.7668287862241012
9.0,0.7307692307692307,0.5602702175215458,0.9012682440169156
10.0,0.8076923076923077,0.6561999589578595,0.9591846564267559
11.0,0.3076923076923077,0.056797142015050206,0.5585874733695653
12.0,0.5230769230769231,0.40165241804064755,0.6445014281131987
13.0,0.6923076923076923,0.5148980192903811,0.8697173653250034
14.0,0.7971794871794872,0.6985558044051348,0.8958031699538396
15.0,0.6923076923076923,0.547453300865552,0.8371620837498326
16.0,0.7076923076923077,0.597121176483046,0.8182634389015695
17.0,0.8461538461538461,0.7074663251095932,0.9848413671980991
18.0,0.5128205128205128,0.3559465168950686,0.6696945087459569
19.0,0.8461538461538461,0.7329159594038716,0.9593917329038207
20.0,0.7971794871794872,0.6985558044051348,0.8958031699538396
21.0,0.7971794871794872,0.6985558044051348,0.8958031699538396
22.0,0.7307692307692307,0.5602702175215458,0.9012682440169156
23.0,0.5769230769230769,0.3870173676220525,0.7668287862241012
24.0,0.8717948717948718,0.7668687498955643,0.9767209936941793
25.0,0.6346153846153846,0.5037319068501049,0.7654988623806642
26.0,0.8461538461538461,0.6500200729611596,1.0422876193465327
27.0,0.7971794871794872,0.6985558044051348,0.8958031699538396
28.0,0.6923076923076923,0.5148980192903811,0.8697173653250034
29.0,0.7971794871794872,0.6985558044051348,0.8958031699538396
30.0,0.7692307692307693,0.5401958662133862,0.9982656722481523
31.0,0.7971794871794872,0.6985558044051348,0.8958031699538396
32.0,0.6153846153846154,0.3509178895628035,0.8798513412064273
33.0,0.8461538461538461,0.6500200729611596,1.0422876193465327
34.0,1.0,1.0,1.0
35.0,1.0,1.0,1.0
36.0,1.0,1.0,1.0
37.0,1.0,1.0,1.0
38.0,1.0,1.0,1.0
39.0,1.0,1.0,1.0
40.0,1.0,1.0,1.0
41.0,1.0,1.0,1.0
42.0,1.0,1.0,1.0
43.0,1.0,1.0,1.0
44.0,1.0,1.0,1.0
45.0,1.0,1.0,1.0
46.0,1.0,1.0,1.0
47.0,1.0,1.0,1.0
48.0,1.0,1.0,1.0
49.0,1.0,1.0,1.0
50.0,1.0,1.0,1.0
51.0,1.0,1.0,1.0
52.0,1.0,1.0,1.0
53.0,1.0,1.0,1.0
54.0,1.0,1.0,1.0
55.0,1.0,1.0,1.0
56.0,1.0,1.0,1.0
